Descricao;Codigo
RK PUFF TRIANGULAR ROSA E CINZA;7898741802167
RK SPRAY FACIAL BRUMA FINALIZADORA;731509966565
RK SUPER FIXO BASE 131;7898741804277
RK SUPER FIXO BASE 220;7898741804284
RK SUPER FIXO CORRETIVO 10;7898741804154
RK SUPER FIXO CORRETIVO 15;7898741804161
RK SUPER FIXO CORRETIVO 20;7898741804178
RK SUPER FIXO CORRETIVO 25;7898741804185
RK ULTRA BLUR PO SOLTO - FAIR;7898741804093
RK ULTRA BLUR PO SOLTO - MEDIUM;7898741804109
RK VOLUMIZING WATERPROOF MASCARA -;731509969498
ROSE SPARKLE OCEANE PALETTE - TRIO DE;7908725501082
RR PO COMPACTO FEELS MOOD - HB 7232 - 1;6932159603587
RUBY KISSES CONTOUR POP CONT STICK -;7898741802730
RUBY KISSES CONTOUR POP CONT STICK -;7898741802716
RUBY KISSES CONTOUR POP CONT STICK -;7898741802723
RUBY KISSES JELLY POP LIP OIL - BERRY POP;7898741802440
RUBY KISSES LAPIS MADEIRA LABIOS - MARSALA;7,3151E+11
RUBY KISSES LAPIS MADEIRA LABIOS - NUDE;731509687712
RUBY KISSES LAPIS MADEIRA LABIOS - NUDE;731509687729
RUBY KISSES LAPIS MADEIRA LABIOS - PALE;731509687705
RUBY KISSES LAPIS MADEIRA LABIOS - WINE;731509687774
RUBY KISSES LAPIS RETRATIL LABIOS - ARE YOU7;31509687071
RUBY KISSES LAPIS RETRATIL LABIOS -;731509687262
RUBY KISSES LAPIS RETRATIL LABIOS - RED;731509687248
RUBY KISSES LAPIS RETRATIL LABIOS - RMLP;731509687835
RUBY KISSES LAPIS RETRATIL P LABIOS-;731509687255
RUBY KISSES PLUMPING LIP LINER - NUDE;7898741807575
RUBY KISSES PLUMPING LIP LINER - NUDE BEGE;7,89874E+12
RUBY KISSES PLUMPING LIP LINER - NUDE PINK;7898741807582
RUBY KISSES PLUMPING LIP LINER - WARM;7898741807599
RUBY KISSES SO JELLY LIP BALM BERRY;7898741805151
RUBY KISSES SO JELLY LIP BALM CHERRY;7898741805168
